
Peugeot 108 , 3470,1620,1450
Peugeot 208 , 3962,1739,1460
Peugeot 2008 , 4159,1739,1556
New Peugeot 308 2017 , 4253,1804,1457
New Peugeot 308 SW 2017 , 4585,1804,1471
New Peugeot 3008 2017 , 4447,1841,1624
New Peugeot 5008 2017 , 4641,1844,1646
Peugeot 508 , 4830,1828,1456
Peugeot 508 SW , 4829,1828,1476
Peugeot 508 RXH , 4828,1864,1525
Peugeot Partner Tepee , 4380,1810,1862
Peugeot Traveller Compact , 4606,1920,1905
Peugeot Traveller Standard , 4956,1920,1890
Peugeot Traveller Long , 5308,1920,1890

Porsche 718 Boxster , 4379,1801,1281
Porsche 718 Cayman , 4379,1801,1295
Porsche 911 Carrera , 4499,1808,1294
Porsche 911 Targa 4 , 4499,1852,1288
Porsche 911 Turbo , 4507,1880,1297
New Porsche Panamera 2017 , 5049,1937,1423
New Porsche Panamera Sport Turismo 2018 , 5049,1937,1428
New Porsche Panamera Executive 2017 , 5199,1937,1428
Porsche Macan , 4681,1923,1624
Porsche Cayenne , 4855,1939,1705

Renault Twizy , 2337,1234,1454
Renault Twingo , 3595,1654,1554
Renault Zoe , 4084,1730,1562
Renault Clio , 4062,1732,1448
Renault Clio Sport Tourer , 4267,1732,1475
Renault Mégane , 4359,1814,1447
Renault Mégane Sport Tourer , 4626,1814,1441
Renault Mégane Coupé , 4312,1804,1423
Renault Mégane Coupé Cabrio , 4485,1810,1434
Renault Scénic , 4406,1866,1653
Renault Grand Scénic , 4634,1866,1655
New Renault Captur 2017 , 4122,1778,1566
Renault Kadjar , 4445,1840,1609
New Renault Koleos 2017 , 4673,1843,1678
Renault Espace , 4857,1888,1675
Renault Talisman , 4849,1868,1463
Renault Talisman Sport Tourer , 4849,1868,1456
Renault Kangoo , 4282,1829,1839
Renault Grand Kangoo , 4666,1829,1802
Renault Trafic Combi , 4999,1956,1971
Renault Grand Trafic Combi , 5399,1956,1971

SEAT Mii , 3557,1641,1478
New SEAT Ibiza 2017 , 4059,1780,1444
New SEAT Leon SC 2017 , 4247,1810,1446
New SEAT Leon 5p 2017 , 4282,1816,1459
New SEAT Leon ST 2017 , 4549,1816,1454
SEAT Toledo , 4482,1703,1461
New SEAT Arona 2018 , 4138,---,1543m
SEAT Ateca , 4363,1841,1601
SEAT Alhambra , 4854,1904,1740

Škoda Citigo , 3563,1645,1478
Škoda Fabia , 3992,1732,1452
Škoda Fabia Combi , 4257,1732,1467
Škoda Spaceback , 4304,1706,1459
Škoda Rapid , 4483,1706,1461
New Škoda Octavia 2017 , 4670,1814,1461
New Škoda Octavia Combi 2017 , 4667,1814,1465
New Škoda Octavia Scout 2017 , 4687,1814,1501
Škoda Superb , 4861,1864,1468
Škoda Superb Combi , 4856,1864,1477
Škoda Yeti , 4223,1793,1691
New Škoda Karoq 2018 , 4382,1841,1605
New Škoda Kodiaq 2017 , 4697,1882,1676

Smart fortwo , 2695,1663,1555
Smart fortwo cabrio , 2695,1663,1552
Smart forfour , 3495,1665,1554

SsangYong Tivoli , 4202,1798,1600
SsangYong XLV , 4440,1798,1635
SsangYong Korando , 4410,1830,1675
SsangYong Rexton W , 4755,1900,1840
SsangYong Rodius , 5130,1915,1850
SsangYong Actyon Sports , 4990,1910,1790

Subaru BRZ , 4240,1775,1285
Subaru WRX STI , 4595,1795,1475
Subaru XV , 4450,1780,1570
Subaru Forester , 4595,1795,1735
Subaru Levorg , 4690,1780,1490
Subaru Outback , 4815,1840,1605

Suzuki Celerio , 3600,1600,1540
Suzuki Jimny , 3695,1600,1705
New Suzuki Ignis 2017 , 3700,1660,1595
New Suzuki Swift 2017 , 3840,1735,1495
Suzuki Baleno , 3995,1745,1470
Suzuki S-Cross , 4300,1785,1585
Suzuki Vitara , 4175,1775,1610
Suzuki Grand Vitara , 4500,1810,1695

Tesla Model S , 4970,1964,1445
Tesla Model X , 5037,2070,1626

Toyota AYGO , 3455,1615,1460
New Toyota Yaris 2017 , 3945,1695,1510
Toyota Auris , 4330,1760,1475
Toyota Auris Touring Sports , 4595,1760,1485
Toyota GT86 , 4240,1775,1285
Toyota Prius , 4540,1760,1470
Toyota Prius+ , 4645,1775,1575
Toyota Verso , 4460,1790,1620
Toyota Avensis , 4750,1810,1480
Toyota Avensis Touring Sports , 4820,1810,1480
New Toyota C-HR 2017 , 4360,1795,1550
Toyota RAV4 , 4605,1845,1675
Toyota Land Cruiser 3-door , 4505,1885,1830
Toyota Land Cruiser 5-door , 4780,1885,1845
Toyota Hilux 2Cab , 5330,1855,1815
Toyota Proace Verso Compact , 4609,1920,1905
Toyota Proace Verso Medium , 4959,1920,1890
Toyota Proace Verso Long , 5309,1920,1890

Volkswagen up! , 3600,1645,1504
Volkswagen Polo , 3972,1682,1462
New Volkswagen Golf 2017 , 4258,1790,1452
New Volkswagen Golf GTI 2017 , 4258,1790,1442
New Volkswagen Golf Estate 2017 , 4567,1799,1481
New Volkswagen Golf Alltrack 2017 , 4578,1799,1515
Volkswagen Golf Sportsvan , 4338,1807,1578
Volkswagen Beetle , 4288,1825,1488
Volkswagen Beetle Cabriolet , 4288,1825,1490
Volkswagen Scirocco , 4248,1820,1398
Volkswagen Touran , 4527,1829,1659
Volkswagen Sharan , 4854,1904,1720
Volkswagen Tiguan , 4486,1839,1657
Volkswagen Touareg , 4801,1940,1709
Volkswagen Jetta , 4659,1778,1482
Volkswagen Passat , 4767,1832,1456
Volkswagen Passat Estate , 4767,1832,1477
Volkswagen Passat Alltrack , 4777,1832,1506
New Volkswagen Arteon 2017 , 4862,1871,1427
Volkswagen Amarok , 5254,1954,1834
Volkswagen Caddy , 4408,1793,1822
Volkswagen Caddy Maxi , 4878,1793,1831
Volkswagen T6 Multivan , 4904,1904,1970
Volkswagen T6 California , 4904,1904,1970
Volkswagen T6 Caravelle Short , 4904,1904,1990
Volkswagen T6 Caravelle Long , 5304,1904,1990

Volvo V40 , 4369,1802,1420
Volvo V40 Cross Country , 4370,1802,1458
Volvo V60 , 4628,1865,1484
Volvo V60 Cross Country , 4638,1899,1545
Volvo S60 , 4628,1865,1484
Volvo S90 , 4963,1895,1443
Volvo V90 , 4963,1895,1475
New Volvo XC60 2017 , 4688,1902,1658
Volvo XC90 , 4950,2008,1776

